displayName,rankingSortRank,primaryPhotoCardSmall,primaryPhotoThumb,location,isPublic,aliasNames
American Academy of Art,1,,,"Chicago, IL",True,
Art Academy of Cincinnati,2,https://www.usnews.com/dims4/USNEWS/ec612c1/17177859217/thumbnail/196x196/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fbc%2F1751c91383e7c2e057b9ed4b3e0037%2Fcollege-photo_26869.jpg,https://www.usnews.com/dims4/USNEWS/2b36ca6/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fbc%2F1751c91383e7c2e057b9ed4b3e0037%2Fcollege-photo_26869.jpg,"Cincinnati, OH",True,
Boston Architectural College,3,https://www.usnews.com/dims4/USNEWS/8a6de95/17177859217/thumbnail/196x196/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F97%2F0e47e8df501c18fff93d97c00d432d%2Fcollege-photo_24197.jpg,https://www.usnews.com/dims4/USNEWS/cb6c256/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F97%2F0e47e8df501c18fff93d97c00d432d%2Fcollege-photo_24197.jpg,"Boston, MA",True,
California College of the Arts,4,https://www.usnews.com/dims4/USNEWS/24a11c4/17177859217/thumbnail/196x196/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F89%2F282c25a12127f4927358f3d1c44211%2Fcollege-photo_22303.jpg,https://www.usnews.com/dims4/USNEWS/907ff53/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F89%2F282c25a12127f4927358f3d1c44211%2Fcollege-photo_22303.jpg,"San Francisco, CA",True,CCA
Cleveland Institute of Art,5,,,"Cleveland, OH",True,
Cleveland Institute of Music,6,,,"Cleveland, OH",True,
College for Creative Studies,7,,,"Detroit, MI",True,
Columbia College Hollywood,8,,,"Tarzana, CA",True,
Columbus College of Art and Design,9,,,"Columbus, OH",True,
Cornish College of the Arts,10,https://www.usnews.com/dims4/USNEWS/d4e7430/17177859217/thumbnail/196x196/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Ff6%2F06f42d28150b3a88b9aea560374c84%2Fcollege-photo_20914.jpg,https://www.usnews.com/dims4/USNEWS/6d6d056/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Ff6%2F06f42d28150b3a88b9aea560374c84%2Fcollege-photo_20914.jpg,"Seattle, WA",True,
Culinary Institute of America,11,,,"Hyde Park, NY",True,CIA
Curtis Institute of Music,12,https://www.usnews.com/dims4/USNEWS/a2c23c9/17177859217/thumbnail/196x196/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F07%2Fdc1ee0a224337714cfc39f956d22d6%2Fcollege-photo_17586.jpg,https://www.usnews.com/dims4/USNEWS/e0a53cc/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F07%2Fdc1ee0a224337714cfc39f956d22d6%2Fcollege-photo_17586.jpg,"Philadelphia, PA",True,
Design Institute of San Diego,13,,,"San Diego, CA",True,
Escuela de Artes Plasticas de Puerto Rico,14,,,"San Juan, PR",True,
Five Towns College,15,,,"Dix Hills, NY",True,
Juilliard School,16,https://www.usnews.com/dims4/USNEWS/c527cbe/17177859217/thumbnail/196x196/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F31%2F376b0fab1621726bcca1dc79aaa7f0%2Fcollege-photo_16842.jpg,https://www.usnews.com/dims4/USNEWS/869efd8/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F31%2F376b0fab1621726bcca1dc79aaa7f0%2Fcollege-photo_16842.jpg,"New York, NY",True,
Kansas City Art Institute,17,https://www.usnews.com/dims4/USNEWS/b7bf8a7/17177859217/thumbnail/196x196/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fff%2Fac9a0b3d5874452a8277953e76c21f%2Fcollege-photo_435.jpg,https://www.usnews.com/dims4/USNEWS/1647445/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fff%2Fac9a0b3d5874452a8277953e76c21f%2Fcollege-photo_435.jpg,"Kansas City, MO",True,
Laguna College of Art and Design,18,https://www.usnews.com/dims4/USNEWS/f33340e/17177859217/thumbnail/196x196/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F67%2Fd68c3a77cc75f334087ea5fab875c3%2Fcollege-photo_33823.jpg,https://www.usnews.com/dims4/USNEWS/cff084e/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F67%2Fd68c3a77cc75f334087ea5fab875c3%2Fcollege-photo_33823.jpg,"Laguna Beach, CA",True,Laguna College of Art & Design
Maine College of Art,19,https://www.usnews.com/dims4/USNEWS/9a3825f/17177859217/thumbnail/196x196/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F86%2Fb8b86b1522794f681343528be38ba8%2Fcollege-photo_1706.jpg,https://www.usnews.com/dims4/USNEWS/0ef0fc3/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F86%2Fb8b86b1522794f681343528be38ba8%2Fcollege-photo_1706.jpg,"Portland, ME",True,
Manhattan School of Music,20,,,"New York, NY",True,
Maryland Institute College of Art,21,,,"Baltimore, MD",True,
Massachusetts College of Art and Design,22,https://www.usnews.com/dims4/USNEWS/e480654/17177859217/thumbnail/196x196/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F55%2Fde53fed8351f4c10f0a0ad98c930ff%2Fcollege-photo_1021.jpg,https://www.usnews.com/dims4/USNEWS/aa21929/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F55%2Fde53fed8351f4c10f0a0ad98c930ff%2Fcollege-photo_1021.jpg,"Boston, MA",True,Mass Art
Milwaukee Institute of Art and Design,23,https://www.usnews.com/dims4/USNEWS/8af92ab/17177859217/thumbnail/196x196/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fb8%2F9189cc6a8af5c5efe4b932d2286059%2Fcollege-photo_26349.jpg,https://www.usnews.com/dims4/USNEWS/bb2c9a7/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fb8%2F9189cc6a8af5c5efe4b932d2286059%2Fcollege-photo_26349.jpg,"Milwaukee, WI",True,MIAD
Minneapolis College of Art and Design,24,https://www.usnews.com/dims4/USNEWS/3555b67/17177859217/thumbnail/196x196/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fef%2F5c2e4abf389519d6d27bed073e1315%2Fcollege-photo_9558.jpg,https://www.usnews.com/dims4/USNEWS/8390bf9/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fef%2F5c2e4abf389519d6d27bed073e1315%2Fcollege-photo_9558.jpg,"Minneapolis, MN",True,
Moore College of Art & Design,25,https://www.usnews.com/dims4/USNEWS/48fcb23/17177859217/thumbnail/196x196/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F16%2F32f1b63db5bcbcd85bcdc933451d60%2Fcollege-photo_21033.jpg,https://www.usnews.com/dims4/USNEWS/790c891/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F16%2F32f1b63db5bcbcd85bcdc933451d60%2Fcollege-photo_21033.jpg,"Philadelphia, PA",True,
New England Conservatory of Music,26,,,"Boston, MA",True,
New York School of Interior Design,27,,,"New York, NY",True,
Otis College of Art and Design,28,,,"Los Angeles, CA",True,
Pacific Northwest College of Art,29,,,"Portland, OR",True,
Pennsylvania Academy of the Fine Arts,30,,,"Philadelphia, PA",True,
Pennsylvania College of Art & Design,31,,,"Lancaster, PA",True,
Pratt Institute,32,https://www.usnews.com/dims4/USNEWS/14e5d19/17177859217/thumbnail/196x196/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F5c%2Fd8b5e8f38ff6cfd2fc11a8fa30b250%2Fcollege-photo_13684.jpg,https://www.usnews.com/dims4/USNEWS/eefd20e/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F5c%2Fd8b5e8f38ff6cfd2fc11a8fa30b250%2Fcollege-photo_13684.jpg,"Brooklyn, NY",True,
Puerto Rico Conservatory of Music,33,,,"San Juan, PR",True,
Ringling College of Art and Design,34,,,"Sarasota, FL",True,
San Francisco Conservatory of Music,35,https://www.usnews.com/dims4/USNEWS/e1325b3/17177859217/thumbnail/196x196/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F3f%2Fb4c3ebcb8ad1cf935a09f2e4d1437c%2Fcollege-photo_31723.jpg,https://www.usnews.com/dims4/USNEWS/5127740/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F3f%2Fb4c3ebcb8ad1cf935a09f2e4d1437c%2Fcollege-photo_31723.jpg,"San Francisco, CA",True,
School of the Art Institute of Chicago,36,https://www.usnews.com/dims4/USNEWS/8f7635b/17177859217/thumbnail/196x196/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fb4%2Ffb1ce79a718868fa3e10f8518a3076%2Fcollege-photo_18089.jpg,https://www.usnews.com/dims4/USNEWS/d9edfde/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fb4%2Ffb1ce79a718868fa3e10f8518a3076%2Fcollege-photo_18089.jpg,"Chicago, IL",True,SAIC
University of North Carolina School of the Arts,37,https://www.usnews.com/dims4/USNEWS/f9d9e6e/17177859217/thumbnail/196x196/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F3c%2F4e854f5a5b97072f38b466f5776ce4%2Fcollege-photo_25973.jpg,https://www.usnews.com/dims4/USNEWS/be762b8/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F3c%2F4e854f5a5b97072f38b466f5776ce4%2Fcollege-photo_25973.jpg,"Winston-Salem, NC",True,
University of the Arts,38,,,"Philadelphia, PA",True,UArts
